text,label,emotion,cleaned_text,word_count,char_count,avg_word_length,capital_count,exclaim_count,question_count,negation_count
i didnt feel humiliated,0,sadness,didnt feel humiliated,4,23,5.0,0,0,0,0
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,sadness,go feeling hopeless damned hopeful around someone cares awake,21,108,4.190476190476191,0,0,0,0
im grabbing a minute to post i feel greedy wrong,3,anger,im grabbing minute post feel greedy wrong,10,48,3.9,0,0,0,0
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,love,ever feeling nostalgic fireplace know still property,18,92,4.166666666666667,0,0,0,0
i am feeling grouchy,3,anger,feeling grouchy,4,20,4.25,0,0,0,0
ive been feeling a little burdened lately wasnt sure why that was,0,sadness,ive feeling little burdened lately wasnt sure why,12,65,4.5,0,0,0,0
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5,surprise,ive taking milligrams times recommended amount ive fallen asleep lot faster feel like funny,23,122,4.3478260869565215,0,0,0,0
i feel as confused about life as a teenager or as jaded as a year old man,4,fear,feel confused life teenager jaded year old man,17,73,3.3529411764705883,0,0,0,0
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,joy,petronas years feel petronas performed well made huge profit,19,98,4.2105263157894735,0,0,0,0
i feel romantic too,2,love,feel romantic,4,19,4.0,0,0,0,0
i feel like i have to make the suffering i m seeing mean something,0,sadness,feel like make suffering m seeing mean something,14,66,3.7857142857142856,0,0,0,0
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,joy,feel running divine experience expect type spiritual encounter,21,108,4.190476190476191,0,0,0,0
i think it s the easiest time of year to feel dissatisfied,3,anger,think easiest time year feel dissatisfied,12,58,3.9166666666666665,0,0,0,0
i feel low energy i m just thirsty,0,sadness,feel low energy m thirsty,8,34,3.375,0,0,0,0
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,joy,immense sympathy general point possible proto writer trying find time write corners life no sign agent let alone publishing contract feels little precious,42,219,4.238095238095238,0,0,0,1
i do not feel reassured anxiety is on each side,1,joy,not feel reassured anxiety side,10,47,3.8,0,0,0,1
i didnt really feel that embarrassed,0,sadness,didnt feel embarrassed,6,36,5.166666666666667,0,0,0,0
i feel pretty pathetic most of the time,0,sadness,feel pretty pathetic time,8,39,4.0,0,0,0,0
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,sadness,started feeling sentimental dolls child began collection vintage barbie dolls sixties,23,125,4.478260869565218,0,0,0,0
i now feel compromised and skeptical of the value of every unit of work i put in,4,fear,feel compromised skeptical value every unit work put,17,80,3.764705882352941,0,0,0,0
i feel irritated and rejected without anyone doing anything or saying anything,3,anger,feel irritated rejected without anyone doing anything saying anything,12,78,5.583333333333333,0,0,0,0
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,fear,feeling completely overwhelmed two strategies help feel grounded pour heart journal form letter god end list five things grateful,44,213,3.8636363636363638,0,0,0,0
i have the feeling she was amused and delighted,1,joy,feeling amused delighted,9,47,4.333333333333333,0,0,0,0
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,joy,able help chai lifeline support encouragement great feeling glad able help,27,129,3.814814814814815,0,0,0,0
i already feel like i fucked up though because i dont usually eat at all in the morning,3,anger,already feel like fucked though because dont usually eat morning,18,87,3.888888888888889,0,0,0,0
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,sadness,still love wish best no longer tolerate effect bm lives fact turned bitter angry person not always particularly kind people around feeling stressed,54,259,3.814814814814815,0,0,0,2
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,sadness,feel inhibited someone elses kitchen like im painting someone elses picture,15,86,4.8,0,0,0,0
i become overwhelmed and feel defeated,0,sadness,become overwhelmed feel defeated,6,38,5.5,0,0,0,0
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3,anger,feel kinda appalled feels like needs explain wide lenghth body measures etc pp,21,107,4.142857142857143,0,0,0,0
i feel more superior dead chicken or grieving child,1,joy,feel superior dead chicken grieving child,9,51,4.777777777777778,0,0,0,0
